"filename", "language", "TypeScript", "XML", "Vue", "SCSS", "JSON", "Markdown", "JavaScript", "JSON with Comments", "HTML", "YAML", "comment", "blank", "total"
"/Users/trumpael/Documents/Learning/LearnVue/project/src/components/SvgIcon/index.vue", "Vue", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 2, 38
"/Users/trumpael/Documents/Learning/LearnVue/project/src/components/index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 24
"/Users/trumpael/Documents/Learning/LearnVue/project/src/directive/has.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 20
"/Users/trumpael/Documents/Learning/LearnVue/project/src/layout/index.vue", "Vue", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 8, 11, 110
"/Users/trumpael/Documents/Learning/LearnVue/project/src/layout/logo/index.vue", "Vue", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"/Users/trumpael/Documents/Learning/LearnVue/project/src/layout/main/index.vue", "Vue", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 4, 45
"/Users/trumpael/Documents/Learning/LearnVue/project/src/layout/menu/index.vue", "Vue", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 4, 58
"/Users/trumpael/Documents/Learning/LearnVue/project/src/layout/tabbar/breadcrumb/index.vue", "Vue", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 3, 40
"/Users/trumpael/Documents/Learning/LearnVue/project/src/layout/tabbar/index.vue", "Vue", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"/Users/trumpael/Documents/Learning/LearnVue/project/src/layout/tabbar/setting/index.vue", "Vue", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 2, 8, 123
"/Users/trumpael/Documents/Learning/LearnVue/project/src/main.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 39
"/Users/trumpael/Documents/Learning/LearnVue/project/src/permission.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 65
"/Users/trumpael/Documents/Learning/LearnVue/project/src/router/index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 19
"/Users/trumpael/Documents/Learning/LearnVue/project/src/router/routes.ts", "TypeScript", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 163
"/Users/trumpael/Documents/Learning/LearnVue/project/src/setting.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"/Users/trumpael/Documents/Learning/LearnVue/project/src/store/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/trumpael/Documents/Learning/LearnVue/project/src/store/modules/category.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 52
"/Users/trumpael/Documents/Learning/LearnVue/project/src/store/modules/setting.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"/Users/trumpael/Documents/Learning/LearnVue/project/src/store/modules/types/type.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 20
"/Users/trumpael/Documents/Learning/LearnVue/project/src/store/modules/user.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 5, 108
"/Users/trumpael/Documents/Learning/LearnVue/project/src/styles/index.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 3, 17
"/Users/trumpael/Documents/Learning/LearnVue/project/src/styles/reset.scss", "SCSS", 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 23, 186
"/Users/trumpael/Documents/Learning/LearnVue/project/src/styles/variable.scss", "SCSS", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 7, 4, 17
"/Users/trumpael/Documents/Learning/LearnVue/project/src/utils/request.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 64
"/Users/trumpael/Documents/Learning/LearnVue/project/src/utils/time.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"/Users/trumpael/Documents/Learning/LearnVue/project/src/utils/token.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 13
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/404/index.vue", "Vue", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
